"Date","IDSwipes","LDT","Turnstile","Day","Hours","Month","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyRelativeHumidity","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Hour","Minutes","WeekdayCount","Week","Week_Day","End_of_Week","DayTemperature.Date","DayTemperature.Temperature"
2019-03-24, 756,"2019-03-24 07:52:26","DEDM (101.2LB)","Sunday","2019-03-24 07","2019-03",30.03,59,NA,NA, 88,"*",29.34,10.00,"170",NA, 8, 7,52,"2019-03-24 Sunday","2019-03 Sunday",0,2019-03-30,2019-03-24,76.68783
2019-03-25,1956,"2019-03-25 07:08:07","DEDM (101.2LB)","Monday","2019-03-25 07","2019-03",30.13,46,NA,NA, 72,"*",29.44,10.00,"010",NA, 6, 7, 8,"2019-03-25 Monday","2019-03 Monday",1,2019-03-30,2019-03-25,66.79294
2019-03-26,1709,"2019-03-26 07:18:35","DEDM (101.3LB)","Tuesday","2019-03-26 07","2019-03",30.33,45,NA,NA, 77,"*",29.63,13.00,"020",NA, 7, 7,18,"2019-03-26 Tuesday","2019-03 Tuesday",2,2019-03-30,2019-03-26,63.03569
2019-03-27,1798,"2019-03-27 06:19:40","DEDM (101.3LB)","Wednesday","2019-03-27 06","2019-03",30.32,45,NA,NA, 55,"*",29.62,13.00,"160","21",13, 6,19,"2019-03-27 Wednesday","2019-03 Wednesday",3,2019-03-30,2019-03-27,66.68521
2019-03-28,1424,"2019-03-28 07:37:28","DEDM (101.2LB)","Thursday","2019-03-28 07","2019-03",30.17,50,NA,NA, 72,"BKN:07 60",29.48,13.00,"190","25",16, 7,37,"2019-03-28 Thursday","2019-03 Thursday",4,2019-03-30,2019-03-28,70.66503
2019-03-29,1436,"2019-03-29 07:40:54","DEDM (101.3LB)","Friday","2019-03-29 07","2019-03",29.99,57,NA,NA, 73,"SCT:04 25",29.30,10.00,"150","23",17, 7,40,"2019-03-29 Friday","2019-03 Friday",5,2019-03-30,2019-03-29,70.16992
2019-03-30, 607,"2019-03-30 07:42:04","DEDM (101.1LB)","Saturday","2019-03-30 07","2019-03",30.07,43,NA,NA, 76,"OVC:08 16",29.38,10.00,"330","30",21, 7,42,"2019-03-30 Saturday","2019-03 Saturday",6,2019-03-30,2019-03-30,50.50412
2019-03-31, 807,"2019-03-31 13:01:02","DEDM (101.2LB)","Sunday","2019-03-31 13","2019-03",30.30,27,NA,NA, 35,NA,NA,10.00,"VRB","20",10,13, 1,"2019-03-31 Sunday","2019-03 Sunday",0,2019-04-06,2019-03-31,51.12268
2019-04-01,1790,"2019-04-01 05:59:03","DEDM (101.2LB)","Monday","2019-04-01 05","2019-04",30.28,27,NA,NA, 53,"*",29.58,10.00,"000",NA, 0, 5,59,"2019-04-01 Monday","2019-04 Monday",1,2019-04-06,2019-04-01,53.96089
2019-04-02,1509,"2019-04-02 07:56:19","DEDM (101.2LB)","Tuesday","2019-04-02 07","2019-04",30.17,34,NA,NA, 71,"*",29.48,10.00,"170",NA, 6, 7,56,"2019-04-02 Tuesday","2019-04 Tuesday",2,2019-04-06,2019-04-02,60.47250
2019-04-03,1650,"2019-04-03 08:32:18","DEDM (101.3LB)","Wednesday","2019-04-03 08","2019-04",30.14,41,NA,NA, 67,"BKN:07 250",29.45,10.00,"170",NA, 8, 8,32,"2019-04-03 Wednesday","2019-04 Wednesday",3,2019-04-06,2019-04-03,62.78061
2019-04-04,1488,"2019-04-04 07:54:53","DEDM (101.2LB)","Thursday","2019-04-04 07","2019-04",29.98,59,NA,"-DZ:01 |DZ |DZ", 88,"OVC:08 5",29.29, 7.00,"160",NA, 7, 7,54,"2019-04-04 Thursday","2019-04 Thursday",4,2019-04-06,2019-04-04,73.68078
2019-04-05,1351,"2019-04-05 06:42:20","DEDM (101.2LB)","Friday","2019-04-05 06","2019-04",30.03,54,NA,NA, 94,"FEW:02 5 BKN:07 260",29.34,10.00,"080",NA, 7, 6,42,"2019-04-05 Friday","2019-04 Friday",5,2019-04-06,2019-04-05,71.71281
2019-04-06, 541,"2019-04-06 08:45:42","DEDM (101.3LB)","Saturday","2019-04-06 08","2019-04",29.93,63,NA,"BR:1 ||", 88,"OVC:08 6",29.24, 4.00,"100",NA,11, 8,45,"2019-04-06 Saturday","2019-04 Saturday",6,2019-04-06,2019-04-06,62.22736
2019-04-07, 795,"2019-04-07 14:59:03","DEDM (101.1LB)","Sunday","2019-04-07 14","2019-04",29.85,64,NA,NA, 78,"BKN:07 16 BKN:07 22",29.16, 5.00,"000",NA, 0,14,59,"2019-04-07 Sunday","2019-04 Sunday",0,2019-04-13,2019-04-07,69.36855
2019-04-08,1857,"2019-04-08 08:48:24","DEDM (101.2LB)","Monday","2019-04-08 08","2019-04",29.92,57,NA,NA, 88,"*",29.23,10.00,"320",NA, 9, 8,48,"2019-04-08 Monday","2019-04 Monday",1,2019-04-13,2019-04-08,77.37318
2019-04-09,1780,"2019-04-09 08:08:34","DEDM (101.2LB)","Tuesday","2019-04-09 08","2019-04",29.96,50,NA,NA, 47,"*",29.27,10.00,"000",NA, 0, 8, 8,"2019-04-09 Tuesday","2019-04 Tuesday",2,2019-04-13,2019-04-09,80.71573
2019-04-10,1939,"2019-04-10 07:53:45","DEDM (101.3LB)","Wednesday","2019-04-10 07","2019-04",29.70,52,NA,NA, 50,"BKN:07 250",29.02,10.00,"160","24",17, 7,53,"2019-04-10 Wednesday","2019-04 Wednesday",3,2019-04-13,2019-04-10,83.17741
2019-04-11,1445,"2019-04-11 08:19:18","DEDM (101.2LB)","Thursday","2019-04-11 08","2019-04",29.59,50,NA,NA, 56,"*",28.91,10.00,"250",NA, 5, 8,19,"2019-04-11 Thursday","2019-04 Thursday",4,2019-04-13,2019-04-11,59.99792
2019-04-12,1407,"2019-04-12 06:23:03","DEDM (101.2LB)","Friday","2019-04-12 06","2019-04",29.91,30,NA,NA, 50,"*",29.22,10.00,"060",NA, 5, 6,23,"2019-04-12 Friday","2019-04 Friday",5,2019-04-13,2019-04-12,64.61478
2019-04-13, 551,"2019-04-13 08:53:31","DEDM (101.2LB)","Saturday","2019-04-13 08","2019-04",29.64,54,NA,"RA:02 |RA |RA RA", 94,"OVC:08 6",28.96,10.00,"060","30",16, 8,53,"2019-04-13 Saturday","2019-04 Saturday",6,2019-04-13,2019-04-13,54.13793
2019-04-14, 653,"2019-04-14 14:48:45","DEDM (101.2LB)","Sunday","2019-04-14 14","2019-04",29.95,34,NA,NA, 30,"*",29.26,10.00,"260",NA, 9,14,48,"2019-04-14 Sunday","2019-04 Sunday",0,2019-04-20,2019-04-14,63.50995
2019-04-15,1821,"2019-04-15 06:55:27","DEDM (101.2LB)","Monday","2019-04-15 06","2019-04",29.99,43,NA,NA, 63,"*",29.30,10.00,"160","21",14, 6,55,"2019-04-15 Monday","2019-04 Monday",1,2019-04-20,2019-04-15,69.78583
2019-04-16,1552,"2019-04-16 07:56:33","DEDM (101.3LB)","Tuesday","2019-04-16 07","2019-04",30.00,57,NA,NA, 83,"SCT:04 20",29.31,10.00,"170","21",13, 7,56,"2019-04-16 Tuesday","2019-04 Tuesday",2,2019-04-20,2019-04-16,72.19716
2019-04-17,1395,"2019-04-17 07:09:21","DEDM (101.3LB)","Wednesday","2019-04-17 07","2019-04",29.83,64,NA,NA, 88,"OVC:08 9",29.14,10.00,"140","16",11, 7, 9,"2019-04-17 Wednesday","2019-04 Wednesday",3,2019-04-20,2019-04-17,74.46810
2019-04-18,1148,"2019-04-18 07:35:23","DEDM (101.3LB)","Thursday","2019-04-18 07","2019-04",29.77,59,NA,NA, 88,"SCT:04 9 BKN:07 11 BKN:07 38",29.08,10.00,"050",NA, 5, 7,35,"2019-04-18 Thursday","2019-04 Thursday",4,2019-04-20,2019-04-18,64.86324
2019-04-19, 427,"2019-04-19 11:49:56","DEDM (101.3LB)","Friday","2019-04-19 11","2019-04",30.12,41,NA,NA, 48,"BKN:07 46 BKN:07 55",29.43,10.00,"330","32",16,11,49,"2019-04-19 Friday","2019-04 Friday",5,2019-04-20,2019-04-19,63.83372
2019-04-20, 458,"2019-04-20 10:00:50","DEDM (101.2LB)","Saturday","2019-04-20 10","2019-04",30.11,39,NA,NA, 37,"*",29.42,10.00,"200",NA,10,10, 0,"2019-04-20 Saturday","2019-04 Saturday",6,2019-04-20,2019-04-20,72.20961
2019-04-22,1626,"2019-04-22 06:03:14","DEDM (101.2LB)","Monday","2019-04-22 06","2019-04",30.02,59,NA,NA, 83,"SCT:04 17 OVC:08 23",29.33,10.00,"170",NA,13, 6, 3,"2019-04-22 Monday","2019-04 Monday",1,2019-04-27,2019-04-22,73.12239
2019-04-23,1516,"2019-04-23 06:17:45","DEDM (101.2LB)","Tuesday","2019-04-23 06","2019-04",30.01,61,NA,NA, 83,"BKN:07 50",29.32,10.00,"150",NA,13, 6,17,"2019-04-23 Tuesday","2019-04 Tuesday",2,2019-04-27,2019-04-23,71.07388
2019-04-24,1525,"2019-04-24 07:04:25","DEDM (101.3LB)","Wednesday","2019-04-24 07","2019-04",29.91,59,NA,"-RA:02 |RA |RA", 94,"BKN:07 7 BKN:07 55 OVC:08 100",29.22,10.00,"160",NA, 6, 7, 4,"2019-04-24 Wednesday","2019-04 Wednesday",3,2019-04-27,2019-04-24,64.00066
2019-04-25,1526,"2019-04-25 06:36:30","DEDM (101.3LB)","Thursday","2019-04-25 06","2019-04",29.85,59,NA,NA, 83,"*",29.16,10.00,"280",NA, 6, 6,36,"2019-04-25 Thursday","2019-04 Thursday",4,2019-04-27,2019-04-25,74.91612
2019-04-26,1264,"2019-04-26 07:02:42","DEDM (101.3LB)","Friday","2019-04-26 07","2019-04",30.18,45,NA,NA, 55,"*",29.49,10.00,"020",NA, 8, 7, 2,"2019-04-26 Friday","2019-04 Friday",5,2019-04-27,2019-04-26,71.52927
2019-04-27, 575,"2019-04-27 08:44:36","DEDM (101.3LB)","Saturday","2019-04-27 08","2019-04",29.92,52,NA,NA, 64,"*",29.23,10.00,"160",NA,11, 8,44,"2019-04-27 Saturday","2019-04 Saturday",6,2019-04-27,2019-04-27,76.47826
2019-04-28, 522,"2019-04-28 13:00:47","DEDM (101.2LB)","Sunday","2019-04-28 13","2019-04",29.87,64,NA,NA, 61,"BKN:07 35",29.18,13.00,"170","34",21,13, 0,"2019-04-28 Sunday","2019-04 Sunday",0,2019-05-04,2019-04-28,77.65900
2019-04-29,1659,"2019-04-29 06:00:26","DEDM (101.3LB)","Monday","2019-04-29 06","2019-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 6, 0,"2019-04-29 Monday","2019-04 Monday",1,2019-05-04,2019-04-29,76.23448
2019-04-30,1422,"2019-04-30 06:04:10","DEDM (101.3LB)","Tuesday","2019-04-30 06","2019-04",29.93,68,NA,NA, 83,"OVC:08 12",29.24, 7.00,"150","18",14, 6, 4,"2019-04-30 Tuesday","2019-04 Tuesday",2,2019-05-04,2019-04-30,77.67089
2019-05-01,1514,"2019-05-01 08:06:16","DEDM (101.2LB)","Wednesday","2019-05-01 08","2019-05",29.89,70,NA,NA, 89,"OVC:08 13",29.20, 9.00,"190","17",13, 8, 6,"2019-05-01 Wednesday","2019-05 Wednesday",3,2019-05-04,2019-05-01,77.07728
2019-05-02,1341,"2019-05-02 08:04:29","DEDM (101.2LB)","Thursday","2019-05-02 08","2019-05",30.07,61,NA,NA, 88,"*",29.38,10.00,"330","17",10, 8, 4,"2019-05-02 Thursday","2019-05 Thursday",4,2019-05-04,2019-05-02,69.75988
2019-05-03,1283,"2019-05-03 07:57:56","DEDM (101.3LB)","Friday","2019-05-03 07","2019-05",29.94,59,NA,NA, 83,"*",29.25,10.00,"110",NA, 8, 7,57,"2019-05-03 Friday","2019-05 Friday",5,2019-05-04,2019-05-03,75.30553
2019-05-04, 590,"2019-05-04 01:30:46","DEDM (101.1LB)","Saturday","2019-05-04 01","2019-05",29.86,61,NA,NA, 89,"OVC:08 23",29.17,10.00,"020",NA, 7, 1,30,"2019-05-04 Saturday","2019-05 Saturday",6,2019-05-04,2019-05-04,71.37627
2019-05-05, 455,"2019-05-05 13:31:43","DEDM (101.3LB)","Sunday","2019-05-05 13","2019-05",29.87,61,NA,NA, 51,"BKN:07 49",29.18,10.00,"160","18",10,13,31,"2019-05-05 Sunday","2019-05 Sunday",0,2019-05-11,2019-05-05,79.28571
2019-05-06,1233,"2019-05-06 07:59:19","DEDM (101.2LB)","Monday","2019-05-06 07","2019-05",29.91,64,NA,NA, 83,"*",29.22,10.00,"117","16",10, 7,59,"2019-05-06 Monday","2019-05 Monday",1,2019-05-11,2019-05-06,79.04785
2019-05-07, 928,"2019-05-07 06:22:41","DEDM (101.3LB)","Tuesday","2019-05-07 06","2019-05",29.98,64,NA,NA, 88,"BKN:07 16 BKN:07 26",29.29,10.00,"150",NA, 6, 6,22,"2019-05-07 Tuesday","2019-05 Tuesday",2,2019-05-11,2019-05-07,78.39332
2019-05-08, 794,"2019-05-08 07:58:58","DEDM (101.3LB)","Wednesday","2019-05-08 07","2019-05",29.81,64,NA,NA, 88,"OVC:08 8",29.12,10.00,"000",NA, 0, 7,58,"2019-05-08 Wednesday","2019-05 Wednesday",3,2019-05-11,2019-05-08,66.11713
2019-05-09, 885,"2019-05-09 08:21:13","DEDM (101.2LB)","Thursday","2019-05-09 08","2019-05",29.83,63,NA,"DZ:01 |DZ |DZ DZ", 94,"OVC:08 3",29.14, 2.00,"050",NA, 7, 8,21,"2019-05-09 Thursday","2019-05 Thursday",4,2019-05-11,2019-05-09,62.48814
2019-05-10, 683,"2019-05-10 06:24:46","DEDM (101.3LB)","Friday","2019-05-10 06","2019-05",30.10,43,NA,NA, 72,"OVC:08 30",29.41,10.00,"020","17",11, 6,24,"2019-05-10 Friday","2019-05 Friday",5,2019-05-11,2019-05-10,55.79063
2019-05-11, 465,"2019-05-11 08:02:03","DEDM (101.3LB)","Saturday","2019-05-11 08","2019-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 8, 2,"2019-05-11 Saturday","2019-05 Saturday",6,2019-05-11,2019-05-11,61.99140
2019-05-12, 296,"2019-05-12 12:33:06","DEDM (101.1LB)","Sunday","2019-05-12 12","2019-05",29.95,52,NA,NA, 56,"SCT:04 34",29.26,10.00,"320",NA, 9,12,33,"2019-05-12 Sunday","2019-05 Sunday",0,2019-05-18,2019-05-12,74.97635
2019-05-13, 759,"2019-05-13 07:16:50","DEDM (101.3LB)","Monday","2019-05-13 07","2019-05",30.00,57,NA,NA, 61,"*",29.31,10.00,"000",NA, 0, 7,16,"2019-05-13 Monday","2019-05 Monday",1,2019-05-18,2019-05-13,76.28722
2019-05-14, 595,"2019-05-14 08:42:52","DEDM (101.2LB)","Tuesday","2019-05-14 08","2019-05",30.03,59,NA,NA, 61,"*",29.34,10.00,"160",NA, 7, 8,42,"2019-05-14 Tuesday","2019-05 Tuesday",2,2019-05-18,2019-05-14,80.55630
2019-05-15, 486,"2019-05-15 06:48:48","DEDM (101.2LB)","Wednesday","2019-05-15 06","2019-05",30.05,63,NA,NA, 69,"*",29.36,10.00,"000",NA, 0, 6,48,"2019-05-15 Wednesday","2019-05 Wednesday",3,2019-05-18,2019-05-15,81.44856
2019-05-16, 533,"2019-05-16 07:41:00","DEDM (101.3LB)","Thursday","2019-05-16 07","2019-05",30.03,61,NA,NA, 57,"*",29.34,10.00,"210","16", 8, 7,41,"2019-05-16 Thursday","2019-05 Thursday",4,2019-05-18,2019-05-16,80.84803
2019-05-17, 439,"2019-05-17 06:19:20","DEDM (101.3LB)","Friday","2019-05-17 06","2019-05",29.88,64,NA,NA, 83,"OVC:08 13",29.19,10.00,"180","18", 9, 6,19,"2019-05-17 Friday","2019-05 Friday",5,2019-05-18,2019-05-17,80.69932
2019-05-18,   3,"2019-05-18 04:46:25","DEDM (101.2LB)","Saturday","2019-05-18 04","2019-05",29.77,69,NA,NA, 83,"OVC:08 18",29.08,10.00,"170","20",13, 4,46,"2019-05-18 Saturday","2019-05 Saturday",6,2019-05-18,2019-05-18,69.66667
2019-05-19, 186,"2019-05-19 14:19:35","DEDM (101.3LB)","Sunday","2019-05-19 14","2019-05",29.87,55,NA,NA, 37,"*",29.18,10.00,"100","38", 9,14,19,"2019-05-19 Sunday","2019-05 Sunday",0,2019-05-25,2019-05-19,83.38710
2019-05-20, 463,"2019-05-20 06:23:08","DEDM (101.2LB)","Monday","2019-05-20 06","2019-05",29.87,72,NA,NA, 89,"OVC:08 8",29.18, 7.00,"130","17",10, 6,23,"2019-05-20 Monday","2019-05 Monday",1,2019-05-25,2019-05-20,84.31533
2019-05-21, 360,"2019-05-21 06:59:39","DEDM (101.3LB)","Tuesday","2019-05-21 06","2019-05",29.68,63,NA,NA, 83,"OVC:08 70",29.00,10.00,"230",NA, 9, 6,59,"2019-05-21 Tuesday","2019-05 Tuesday",2,2019-05-25,2019-05-21,76.06667
2019-05-22, 492,"2019-05-22 07:03:14","DEDM (101.2LB)","Wednesday","2019-05-22 07","2019-05",29.74,68,NA,NA, 88,"OVC:08 5",29.05,10.00,"170","17",10, 7, 3,"2019-05-22 Wednesday","2019-05 Wednesday",3,2019-05-25,2019-05-22,83.36789
2019-05-23, 422,"2019-05-23 06:34:42","DEDM (101.3LB)","Thursday","2019-05-23 06","2019-05",29.96,72,NA,NA, 83,"SCT:04 41",29.27,10.00,"150","28",21, 6,34,"2019-05-23 Thursday","2019-05 Thursday",4,2019-05-25,2019-05-23,86.09716
2019-05-24, 391,"2019-05-24 07:30:53","DEDM (101.2LB)","Friday","2019-05-24 07","2019-05",30.01,70,NA,NA, 83,"BKN:07 17",29.32,10.00,"150","22",13, 7,30,"2019-05-24 Friday","2019-05 Friday",5,2019-05-25,2019-05-24,84.53453
2019-05-25, 213,"2019-05-25 08:10:36","DEDM (101.2LB)","Saturday","2019-05-25 08","2019-05",30.06,68,NA,NA, 74,"SCT:04 15",29.37,10.00,"160","25",15, 8,10,"2019-05-25 Saturday","2019-05 Saturday",6,2019-05-25,2019-05-25,84.51643
2019-05-26, 166,"2019-05-26 00:22:12","DEDM (101.2LB)","Sunday","2019-05-26 00","2019-05",30.03,67,NA,NA, 74,"CLR:00",29.34,10.00,"160",NA,10, 0,22,"2019-05-26 Sunday","2019-05 Sunday",0,2019-06-01,2019-05-26,86.33735
2019-05-27, 169,"2019-05-27 10:01:13","DEDM (101.2LB)","Monday","2019-05-27 10","2019-05",29.94,64,NA,NA, 55,"BKN:07 37 BKN:07 42",29.25,10.00,"200","21",10,10, 1,"2019-05-27 Monday","2019-05 Monday",1,2019-06-01,2019-05-27,84.46154
2019-05-28, 517,"2019-05-28 07:55:39","DEDM (101.3LB)","Tuesday","2019-05-28 07","2019-05",29.75,66,NA,NA, 78,"OVC:08 15",29.06,10.00,"170","23",16, 7,55,"2019-05-28 Tuesday","2019-05 Tuesday",2,2019-06-01,2019-05-28,81.68279
2019-05-29, 424,"2019-05-29 06:00:59","DEDM (101.3LB)","Wednesday","2019-05-29 06","2019-05",29.76,70,NA,NA, 79,"BKN:07 18 BKN:07 42",29.08,10.00,"180","16", 8, 6, 0,"2019-05-29 Wednesday","2019-05 Wednesday",3,2019-06-01,2019-05-29,76.74528
2019-05-30, 510,"2019-05-30 07:57:01","DEDM (101.3LB)","Thursday","2019-05-30 07","2019-05",29.96,64,NA,NA, 83,"SCT:04 7",29.27,10.00,"350",NA, 5, 7,57,"2019-05-30 Thursday","2019-05 Thursday",4,2019-06-01,2019-05-30,78.98039
2019-05-31, 368,"2019-05-31 06:22:36","DEDM (101.2LB)","Friday","2019-05-31 06","2019-05",30.08,64,NA,NA, 69,"SCT:04 100",29.39,10.00,"290",NA, 6, 6,22,"2019-05-31 Friday","2019-05 Friday",5,2019-06-01,2019-05-31,79.30978
2019-06-01, 221,"2019-06-01 08:54:22","DEDM (101.1LB)","Saturday","2019-06-01 08","2019-06",30.01,68,NA,NA, 74,"*",29.32,10.00,"230",NA, 3, 8,54,"2019-06-01 Saturday","2019-06 Saturday",6,2019-06-01,2019-06-01,82.03620
2019-06-02, 186,"2019-06-02 13:23:26","DEDM (101.3LB)","Sunday","2019-06-02 13","2019-06",29.97,66,NA,NA, 58,"*",29.28,10.00,"150",NA, 6,13,23,"2019-06-02 Sunday","2019-06 Sunday",0,2019-06-08,2019-06-02,81.16129
2019-06-03, 543,"2019-06-03 06:00:30","DEDM (101.3LB)","Monday","2019-06-03 06","2019-06",29.98,72,NA,NA, 83,"*",29.29,10.00,"150",NA, 7, 6, 0,"2019-06-03 Monday","2019-06 Monday",1,2019-06-08,2019-06-03,86.19890
2019-06-04, 536,"2019-06-04 06:09:14","DEDM (101.3LB)","Tuesday","2019-06-04 06","2019-06",29.99,72,NA,NA, 83,"*",29.30,10.00,"110",NA, 3, 6, 9,"2019-06-04 Tuesday","2019-06 Tuesday",2,2019-06-08,2019-06-04,82.33769
2019-06-05, 506,"2019-06-05 08:23:15","DEDM (101.2LB)","Wednesday","2019-06-05 08","2019-06",29.89,72,NA,NA, 89,"BKN:07 14 BKN:07 20 BKN:07 110",29.20,10.00,"130",NA, 7, 8,23,"2019-06-05 Wednesday","2019-06 Wednesday",3,2019-06-08,2019-06-05,78.01581
2019-06-06, 483,"2019-06-06 07:19:43","DEDM (101.3LB)","Thursday","2019-06-06 07","2019-06",29.76,66,NA,NA, 83,"BKN:07 8 OVC:08 120",29.08,10.00,"310",NA, 3, 7,19,"2019-06-06 Thursday","2019-06 Thursday",4,2019-06-08,2019-06-06,86.25673
2019-06-07, 454,"2019-06-07 06:27:10","DEDM (101.3LB)","Friday","2019-06-07 06","2019-06",29.78,64,NA,NA, 78,"BKN:07 14",29.09,10.00,"330","16",13, 6,27,"2019-06-07 Friday","2019-06 Friday",5,2019-06-08,2019-06-07,80.73568
2019-06-08, 284,"2019-06-08 08:26:15","DEDM (101.2LB)","Saturday","2019-06-08 08","2019-06",29.88,68,NA,NA, 74,"*",29.19,10.00,"020",NA, 3, 8,26,"2019-06-08 Saturday","2019-06 Saturday",6,2019-06-08,2019-06-08,86.82746
2019-06-09, 166,"2019-06-09 12:19:46","DEDM (101.2LB)","Sunday","2019-06-09 12","2019-06",29.98,66,NA,"TS:7 s +RA:02 s |RA s TS s |RA s TS", 94,"BKN:07 1 OVC:08 5",29.29,NA,"030","57",NA,12,19,"2019-06-09 Sunday","2019-06 Sunday",0,2019-06-15,2019-06-09,70.76506
2019-06-10, 492,"2019-06-10 07:17:35","DEDM (101.3LB)","Monday","2019-06-10 07","2019-06",30.27,55,NA,NA, 68,"*",29.57,10.00,"340","18",11, 7,17,"2019-06-10 Monday","2019-06 Monday",1,2019-06-15,2019-06-10,76.29268
2019-06-11, 523,"2019-06-11 07:26:14","DEDM (101.2LB)","Tuesday","2019-06-11 07","2019-06",30.21,54,NA,NA, 64,"*",29.52,10.00,"070",NA, 5, 7,26,"2019-06-11 Tuesday","2019-06 Tuesday",2,2019-06-15,2019-06-11,74.23327
2019-06-12, 520,"2019-06-12 05:46:23","DEDM (101.1LB)","Wednesday","2019-06-12 05","2019-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 5,46,"2019-06-12 Wednesday","2019-06 Wednesday",3,2019-06-15,2019-06-12,80.38269
2019-06-13, 446,"2019-06-13 06:00:28","DEDM (101.2LB)","Thursday","2019-06-13 06","2019-06",30.12,55,NA,NA, 64,"*",29.43,10.00,"020",NA, 6, 6, 0,"2019-06-13 Thursday","2019-06 Thursday",4,2019-06-15,2019-06-13,81.00897
2019-06-14, 480,"2019-06-14 03:56:35","DEDM (101.2LB)","Friday","2019-06-14 03","2019-06",30.06,56,NA,NA, 55,"CLR:00",29.37,10.00,"120",NA, 8, 3,56,"2019-06-14 Friday","2019-06 Friday",5,2019-06-15,2019-06-14,85.94583
2019-06-15, 284,"2019-06-15 07:24:52","DEDM (101.2LB)","Saturday","2019-06-15 07","2019-06",29.89,70,NA,NA, 70,"OVC:08 22",29.20,10.00,"180","23",13, 7,24,"2019-06-15 Saturday","2019-06 Saturday",6,2019-06-15,2019-06-15,90.59155
2019-06-16, 151,"2019-06-16 12:17:43","DEDM (101.1LB)","Sunday","2019-06-16 12","2019-06",29.90,68,NA,NA, 78,"BKN:07 18 BKN:07 23",29.21,10.00,"140","18",10,12,17,"2019-06-16 Sunday","2019-06 Sunday",0,2019-06-22,2019-06-16,75.13907
